Date,Bullish,Neutral,Bearish
7-24-87,0.36,0.50,0.14
7-31-87,0.26,0.48,0.26
8-7-87,0.56,0.15,0.29
8-14-87,0.45,0.35,0.20
8-21-87,0.66,0.28,0.06
8-28-87,0.52,0.18,0.30
9-4-87,0.42,0.17,0.41
9-11-87,0.50,0.23,0.27
9-18-87,0.60,0.29,0.11
9-25-87,0.53,0.17,0.30
10-2-87,0.44,0.26,0.30
10-9-87,0.46,0.39,0.15
10-16-87,0.37,0.30,0.33
10-23-87,0.39,0.30,0.31
10-30-87,0.44,0.23,0.33
11-6-87,0.47,0.31,0.22
11-13-87,0.31,0.41,0.28
11-20-87,0.39,0.42,0.19
11-27-87,0.27,0.46,0.27
12-4-87,0.25,0.33,0.42
12-11-87,0.23,0.45,0.32
12-18-87,0.33,0.40,0.27
12-24-87,0.28,0.52,0.20
12-31-87,0.25,0.49,0.26
1-8-88,0.34,0.46,0.20
1-15-88,0.34,0.40,0.26
1-22-88,0.21,0.48,0.31
1-29-88,0.26,0.45,0.29
2-5-88,0.32,0.53,0.15
2-12-88,0.32,0.46,0.22
2-19-88,0.27,0.49,0.24
2-26-88,0.30,0.51,0.19
3-4-88,0.38,0.40,0.22
3-11-88,0.43,0.40,0.17
3-18-88,0.41,0.49,0.10
3-25-88,0.45,0.38,0.17
4-1-88,0.35,0.45,0.20
4-8-88,0.33,0.48,0.19
4-15-88,0.23,0.53,0.24
4-22-88,0.23,0.57,0.20
4-29-88,0.22,0.48,0.30
5-6-88,0.38,0.42,0.20
5-13-88,0.19,0.56,0.25
5-20-88,0.23,0.52,0.25
5-27-88,0.28,0.52,0.20
6-3-88,0.26,0.62,0.12
6-10-88,0.28,0.49,0.23
6-17-88,0.29,0.50,0.21
6-24-88,0.33,0.44,0.23
7-1-88,0.45,0.38,0.17
7-8-88,0.35,0.50,0.15
7-15-88,0.26,0.37,0.37
7-22-88,0.16,0.58,0.26
7-29-88,0.23,0.54,0.23
8-5-88,0.21,0.49,0.30
8-12-88,0.26,0.48,0.26
8-19-88,0.19,0.53,0.28
8-26-88,0.28,0.40,0.32
9-2-88,0.18,0.43,0.39
9-9-88,0.17,0.52,0.31
9-16-88,0.24,0.46,0.30
9-23-88,0.20,0.53,0.27
9-30-88,0.26,0.44,0.30
10-7-88,0.13,0.49,0.38
10-14-88,0.22,0.46,0.32
10-21-88,0.26,0.51,0.23
10-28-88,0.40,0.38,0.22
11-4-88,0.35,0.46,0.19
11-11-88,0.23,0.56,0.21
11-18-88,0.30,0.34,0.36
